village,nitrogen_-_high,nitrogen_-_medium,nitrogen_-_low,phosphorous_-_high,phosphorous_-_medium,phosphorous_-_low,potassium_-_high,potassium_-_medium,potassium_-_low,oc_-_high,oc_-_medium,oc_-_low,ec_-_saline,ec_-_non_saline,ph_-_acidic,ph_-_neutral,ph_-_alkaline
Ayan Karisalkulam,0.0,0.010101010101010102,0.31053604436229204,0.15577889447236182,0.4013377926421405,0.09473684210526316,0.36329588014981273,0.2681992337164751,0.00516795865633075,0.03418803418803419,0.23376623376623376,0.24293785310734464,0.0,0.3141263940520446,0.0028089887640449437,0.18164435946462715,0.5217391304347826
Pudupatti R.F,0.0,0.0,0.07578558225508318,0.19095477386934673,0.010033444816053512,0.0,0.00749063670411985,0.13793103448275862,0.007751937984496124,0.0071161324957073726,0.019272440840284857,0.049288525664814724,0.0,0.0762081784386617,0.1151685393258427,0.0,0.0
Pudupatti R.F,0.0,0.0,0.14048059149722736,0.25125628140703515,0.06020066889632107,0.042105263157894736,0.08614232209737828,0.1532567049808429,0.03359173126614987,0.017094017094017096,0.09740259740259741,0.1111111111111111,0.006493506493506494,0.13940520446096655,0.0,0.13575525812619502,0.036231884057971016
Sundarapandiyam,0.0,0.0,0.1922365988909427,0.48743718592964824,0.006688963210702341,0.02631578947368421,0.0,0.24904214559386972,0.10077519379844961,0.017094017094017096,0.025974025974025976,0.18455743879472694,0.0,0.19330855018587362,0.0,0.1988527724665392,0.0
Thulukkapatti,0.2,0.0,0.19038817005545286,0.45226130653266333,0.033444816053511704,0.021052631578947368,0.3445692883895131,0.0421455938697318,0.002583979328165375,0.0,0.01948051948051948,0.1902071563088512,0.0,0.19330855018587362,0.0,0.1988527724665392,0.0
Watrap,0.0,0.0,0.11090573012939002,0.16080402010050251,0.06020066889632107,0.05263157894736842,0.1797752808988764,0.04597701149425287,0.0,0.05128205128205128,0.11688311688311688,0.06779661016949153,0.0,0.11152416356877323,0.042134831460674156,0.08604206500956023,0.0
Maharajapuram,0.0,0.0,0.029574861367837338,0.0,0.05351170568561873,0.0,0.02247191011235955,0.034482758620689655,0.002583979328165375,0.0,0.0,0.030131826741996232,0.006493506493506494,0.027881040892193308,0.0,0.030592734225621414,0.0
Kunnur,0.0,0.0,0.19038817005545286,0.11557788944723618,0.13043478260869565,0.21578947368421053,0.2846441947565543,0.09578544061302682,0.00516795865633075,0.017094017094017096,0.045454545454545456,0.17702448210922786,0.0,0.19144981412639406,0.0,0.14340344168260039,0.2028985507246377
Khansabpuram,0.0,0.0,0.18484288354898337,0.3165829145728643,0.07357859531772576,0.07894736842105263,0.37453183520599254,0.0,0.0,0.08547008547008547,0.21428571428571427,0.10734463276836158,0.0,0.18587360594795538,0.0,0.1835564053537285,0.028985507246376812
Ilandaikulam,0.0,0.0,0.0073937153419593345,0.0,0.0,0.021052631578947368,0.0,0.01532567049808429,0.0,0.02564102564102564,0.0,0.0018832391713747645,0.0,0.007434944237918215,0.0,0.0076481835564053535,0.0
Ayaidharmam,0.0,0.0,0.0036968576709796672,0.0,0.0,0.010526315789473684,0.0,0.007662835249042145,0.0,0.008547008547008548,0.0,0.0018832391713747645,0.0,0.0037174721189591076,0.0,0.0038240917782026767,0.0
Thambipatti,0.0,0.0,0.0036968576709796672,0.0,0.0,0.010526315789473684,0.0,0.007662835249042145,0.0,0.0,0.012987012987012988,0.0,0.0,0.0037174721189591076,0.0,0.0038240917782026767,0.0
Kottaiyur,0.0,0.0,0.0073937153419593345,0.0,0.0,0.021052631578947368,0.0,0.01532567049808429,0.0,0.0,0.006493506493506494,0.003766478342749529,0.0,0.007434944237918215,0.0,0.0076481835564053535,0.0
Nathampatti,0.0,0.0,0.0036968576709796672,0.0,0.0,0.010526315789473684,0.0,0.007662835249042145,0.0,0.008547008547008548,0.0,0.0018832391713747645,0.0,0.0037174721189591076,0.0,0.0038240917782026767,0.0
