village,copper_-_sufficient,copper_-_deficient,boron_-_sufficient,boron_-_deficient,s_-_sufficient,s_-_deficient,fe_-_sufficient,fe_-_deficient,zn_-_sufficient,zn_-_deficient,mn_-_sufficient,mn_-_deficient
Ayan Karisalkulam,0.3145009416195857,0.016260162601626018,0.3898916967509025,0.20748299319727892,0.42930591259640105,0.003738317757009346,0.053811659192825115,0.48494983277591974,0.18809980806142035,0.2526690391459075,0.42346938775510207,0.005628517823639775
Pudupatti R.F,0.07721280602636535,0.0,0.1444043321299639,0.003401360544217687,0.10539845758354756,0.0,0.0,0.13712374581939799,0.07869481765834933,0.0,0.10459183673469388,0.0
Pudupatti R.F,0.128060263653484,0.06504065040650407,0.17689530685920576,0.09183673469387756,0.1953727506426735,0.0,0.06053811659192825,0.16387959866220736,0.09788867562380038,0.08896797153024912,0.17346938775510204,0.0150093808630394
Sundarapandiyam,0.18832391713747645,0.032520325203252036,0.35018050541516244,0.023809523809523808,0.26735218508997427,0.0,0.0,0.34782608695652173,0.19193857965451055,0.014234875444839857,0.25510204081632654,0.0075046904315197
Thulukkapatti,0.18832391713747645,0.032520325203252036,0.33212996389891697,0.03741496598639456,0.2622107969151671,0.003738317757009346,0.0,0.34782608695652173,0.19193857965451055,0.014234875444839857,0.25510204081632654,0.0075046904315197
Watrap,0.096045197740113,0.07317073170731707,0.05415162454873646,0.15306122448979592,0.15167095115681234,0.001869158878504673,0.09417040358744394,0.06020066889632107,0.05950095969289827,0.10320284697508897,0.125,0.01876172607879925
Maharajapuram,0.030131826741996232,0.0,0.0,0.05442176870748299,0.04113110539845758,0.0,0.0,0.05351170568561873,0.030710172744721688,0.0,0.04081632653061224,0.0
Kunnur,0.1864406779661017,0.04065040650406504,0.30324909747292417,0.06462585034013606,0.2647814910025707,0.0,0.0,0.34782608695652173,0.14587332053742802,0.099644128113879,0.10459183673469388,0.11819887429643527
Khansabpuram,0.1544256120527307,0.14634146341463414,0.1588447653429603,0.19047619047619047,0.2210796915167095,0.026168224299065422,0.0,0.33444816053511706,0.10940499040307101,0.15302491103202848,0.23214285714285715,0.016885553470919325
Ilandaikulam,0.0,0.032520325203252036,0.010830324909747292,0.003401360544217687,0.010282776349614395,0.0,0.0,0.013377926421404682,0.0,0.014234875444839857,0.0,0.0075046904315197
Ayaidharmam,0.0018832391713747645,0.008130081300813009,0.0,0.006802721088435374,0.005141388174807198,0.0,0.0,0.006688963210702341,0.0,0.0071174377224199285,0.0,0.00375234521575985
Thambipatti,0.0,0.016260162601626018,0.007220216606498195,0.0,0.005141388174807198,0.0,0.0,0.006688963210702341,0.0,0.0071174377224199285,0.0,0.00375234521575985
Kottaiyur,0.0018832391713747645,0.024390243902439025,0.010830324909747292,0.003401360544217687,0.010282776349614395,0.0,0.0,0.013377926421404682,0.0,0.014234875444839857,0.0,0.0075046904315197
Nathampatti,0.0,0.016260162601626018,0.0036101083032490976,0.003401360544217687,0.005141388174807198,0.0,0.0,0.006688963210702341,0.0,0.0071174377224199285,0.0,0.00375234521575985
Vellaipottal,0.0,0.032520325203252036,0.010830324909747292,0.003401360544217687,0.010282776349614395,0.0,0.0,0.013377926421404682,0.0,0.014234875444839857,0.0,0.0075046904315197
Govindanallur,0.0,0.032520325203252036,0.010830324909747292,0.003401360544217687,0.010282776349614395,0.0,0.0,0.013377926421404682,0.0,0.014234875444839857,0.0,0.0075046904315197
Muvaraivenran,0.0,0.04065040650406504,0.018050541516245487,0.0,0.012853470437017995,0.0,0.0,0.016722408026755852,0.0,0.017793594306049824,0.0,0.009380863039399626
Pullalakkottai,0.18832391713747645,0.016260162601626018,0.2851985559566787,0.0782312925170068,0.2493573264781491,0.009345794392523364,0.01569506726457399,0.3177257525083612,0.12284069097888675,0.13523131672597866,0.2602040816326531,0.0
Appayyanayakkanpatti,0.1977401129943503,0.0,0.24187725631768953,0.1292517006802721,0.2699228791773779,0.0,0.002242152466367713,0.34782608695652173,0.19193857965451055,0.017793594306049824,0.26785714285714285,0.0
Chinnavadi,0.2335216572504708,0.0,0.36101083032490977,0.08163265306122448,0.29048843187660667,0.020560747663551402,0.002242152466367713,0.411371237458194,0.22648752399232247,0.021352313167259787,0.2780612244897959,0.028142589118198873
V.Muthulingapuram,0.18832391713747645,0.0,0.2851985559566787,0.07142857142857142,0.2570694087403599,0.0,0.0,0.33444816053511706,0.19001919385796545,0.0035587188612099642,0.25510204081632654,0.0
Kottainattam,0.2222222222222222,0.0,0.3285198555956679,0.09183673469387756,0.2982005141388175,0.003738317757009346,0.002242152466367713,0.391304347826087,0.19577735124760076,0.05693950177935943,0.2857142857142857,0.01125703564727955
Avudaiyapuram,0.1977401129943503,0.0,0.24548736462093862,0.12585034013605442,0.2699228791773779,0.0,0.0,0.3511705685618729,0.12667946257197696,0.1387900355871886,0.11989795918367346,0.10881801125703565
Pudur,0.18832391713747645,0.008130081300813009,0.36101083032490977,0.003401360544217687,0.2596401028277635,0.0,0.0,0.3377926421404682,0.011516314779270634,0.33807829181494664,0.24489795918367346,0.009380863039399626
Amathur (CT),0.013182674199623353,0.0,0.01444043321299639,0.01020408163265306,0.017994858611825194,0.0,0.013452914798206279,0.0033444816053511705,0.013435700575815739,0.0,0.017857142857142856,0.0
Chathirareddipatti (CT),0.009416195856873822,0.08943089430894309,0.05054151624548736,0.003401360544217687,0.038560411311053984,0.0,0.0,0.05016722408026756,0.007677543186180422,0.03914590747330961,0.01020408163265306,0.0225140712945591
Mannarkottai,0.011299435028248588,0.0,0.01444043321299639,0.006802721088435374,0.015424164524421594,0.0,0.011210762331838564,0.0033444816053511705,0.009596928982725527,0.0035587188612099642,0.012755102040816327,0.001876172607879925
Misalur,0.005649717514124294,0.0,0.007220216606498195,0.0,0.002570694087403599,0.0,0.0,0.010033444816053512,0.003838771593090211,0.0,0.007653061224489796,0.0
Moolippatti,0.009416195856873822,0.0,0.0,0.017006802721088437,0.012853470437017995,0.0,0.011210762331838564,0.0,0.007677543186180422,0.0035587188612099642,0.012755102040816327,0.0
Valayapatti,0.018832391713747645,0.0,0.02527075812274368,0.006802721088435374,0.02056555269922879,0.0,0.008968609865470852,0.016722408026755852,0.0,0.03202846975088968,0.012755102040816327,0.009380863039399626
Sennalkudi,0.007532956685499058,0.0,0.0,0.013605442176870748,0.010282776349614395,0.0,0.008968609865470852,0.0,0.005758157389635317,0.0035587188612099642,0.01020408163265306,0.0
Kumaralingapuram,0.009416195856873822,0.0,0.01444043321299639,0.0,0.010282776349614395,0.0,0.0,0.013377926421404682,0.005758157389635317,0.0,0.012755102040816327,0.0
Periaparali,0.009416195856873822,0.08943089430894309,0.018050541516245487,0.03741496598639456,0.015424164524421594,0.018691588785046728,0.0,0.05351170568561873,0.009596928982725527,0.03914590747330961,0.012755102040816327,0.020637898686679174
Chinnamuppanpatti,0.009416195856873822,0.0,0.0,0.017006802721088437,0.012853470437017995,0.0,0.0,0.016722408026755852,0.009596928982725527,0.0,0.012755102040816327,0.0
Allampatti,0.009416195856873822,0.0,0.0,0.017006802721088437,0.012853470437017995,0.0,0.0,0.016722408026755852,0.009596928982725527,0.0,0.012755102040816327,0.0
Rosalpatti (CT),0.013182674199623353,0.008130081300813009,0.0,0.027210884353741496,0.017994858611825194,0.001869158878504673,0.008968609865470852,0.013377926421404682,0.013435700575815739,0.0035587188612099642,0.017857142857142856,0.001876172607879925
Sundaralingapuram,0.01694915254237288,0.0,0.018050541516245487,0.013605442176870748,0.02313624678663239,0.0,0.002242152466367713,0.026755852842809364,0.01727447216890595,0.0,0.015306122448979591,0.005628517823639775
Koilvirarpatti,0.1977401129943503,0.0,0.33212996389891697,0.04421768707482993,0.2570694087403599,0.009345794392523364,0.0,0.3511705685618729,0.07869481765834933,0.2277580071174377,0.25510204081632654,0.009380863039399626
Puliyangulam,0.1337099811676083,0.0,0.20216606498194944,0.05102040816326531,0.18251928020565553,0.0,0.0,0.23745819397993312,0.1343570057581574,0.0035587188612099642,0.18112244897959184,0.0
Maruluthu,0.1977401129943503,0.0,0.0036101083032490976,0.35374149659863946,0.028277634961439587,0.17570093457943925,0.0,0.34782608695652173,0.003838771593090211,0.3665480427046263,0.0,0.19699812382739212
Kasireddiapatti,0.07156308851224105,0.0,0.13357400722021662,0.003401360544217687,0.09768637532133675,0.0,0.0,0.12709030100334448,0.05758157389635317,0.028469750889679714,0.07653061224489796,0.0150093808630394
Kadambankulam,0.009416195856873822,0.0,0.0,0.017006802721088437,0.012853470437017995,0.0,0.0,0.016722408026755852,0.009596928982725527,0.0,0.012755102040816327,0.0
Endappuli,0.007532956685499058,0.0,0.0,0.013605442176870748,0.010282776349614395,0.0,0.004484304932735426,0.006688963210702341,0.005758157389635317,0.0035587188612099642,0.01020408163265306,0.0
Kumaralingapuram,0.2033898305084746,0.0,0.34296028880866425,0.04421768707482993,0.2776349614395887,0.0,0.0,0.3612040133779264,0.11708253358925144,0.16725978647686832,0.2755102040816326,0.0
Alagapuri,0.005649717514124294,0.0,0.0036101083032490976,0.006802721088435374,0.007712082262210797,0.0,0.0,0.010033444816053512,0.0,0.010676156583629894,0.007653061224489796,0.0
Nattarmangalam,0.013182674199623353,0.0,0.02527075812274368,0.0,0.017994858611825194,0.0,0.0,0.023411371237458192,0.0,0.02491103202846975,0.017857142857142856,0.0
Virudhunagar,0.003766478342749529,0.04065040650406504,0.02527075812274368,0.0,0.017994858611825194,0.0,0.0,0.023411371237458192,0.0,0.02491103202846975,0.00510204081632653,0.009380863039399626
Tulukkapatti,0.007532956685499058,0.0,0.0,0.013605442176870748,0.010282776349614395,0.0,0.0,0.013377926421404682,0.0,0.014234875444839857,0.01020408163265306,0.0
Vachakkarapatti,0.022598870056497175,0.0,0.04332129963898917,0.0,0.030848329048843187,0.0,0.0,0.04013377926421405,0.0,0.042704626334519574,0.030612244897959183,0.0
Ondippulinayakkanur,0.015065913370998116,0.0,0.01444043321299639,0.013605442176870748,0.02056555269922879,0.0,0.0,0.026755852842809364,0.003838771593090211,0.021352313167259787,0.017857142857142856,0.001876172607879925
Thathampatti,0.009416195856873822,0.0,0.010830324909747292,0.006802721088435374,0.012853470437017995,0.0,0.0,0.016722408026755852,0.0,0.017793594306049824,0.012755102040816327,0.0
Kottaippatti,0.003766478342749529,0.0,0.0,0.006802721088435374,0.005141388174807198,0.0,0.0,0.006688963210702341,0.0,0.0071174377224199285,0.00510204081632653,0.0
Pudupatti,0.0018832391713747645,0.0,0.0036101083032490976,0.0,0.002570694087403599,0.0,0.0,0.0033444816053511705,0.0,0.0035587188612099642,0.002551020408163265,0.0
Thammanayakkanpatti,0.011299435028248588,0.0,0.010830324909747292,0.01020408163265306,0.015424164524421594,0.0,0.0,0.020066889632107024,0.0,0.021352313167259787,0.015306122448979591,0.0
Golwarpatti,0.009416195856873822,0.0,0.018050541516245487,0.0,0.012853470437017995,0.0,0.0,0.016722408026755852,0.0,0.017793594306049824,0.01020408163265306,0.001876172607879925
Sandaiyur,0.011299435028248588,0.0,0.0,0.02040816326530612,0.015424164524421594,0.0,0.0,0.020066889632107024,0.0,0.021352313167259787,0.015306122448979591,0.0
