Village,Nitrogen - High,Nitrogen - Medium,Nitrogen - Low,Phosphorous - High,Phosphorous - Medium,Phosphorous - Low,Potassium - High,Potassium - Medium,Potassium - Low,OC - High,OC - Medium,OC - Low,EC - Saline,EC - Non Saline,pH - Acidic,pH - Neutral,pH - Alkaline
Ayan Karisalkulam,0,1,168,31,120,18,97,70,2,4,36,129,0,169,1,95,72
Pudupatti R.F,0,0,41,38,3,0,2,36,3,0.832587502,2.967955889,26.17220713,0,41,41,0,0
Pudupatti R.F,0,0,76,50,18,8,23,40,13,2,15,59,1,75,0,71,5
Sundarapandiyam,0,0,104,97,2,5,0,65,39,2,4,98,0,104,0,104,0
Thulukkapatti,1,0,103,90,10,4,92,11,1,0,3,101,0,104,0,104,0
Watrap,0,0,60,32,18,10,48,12,0,6,18,36,0,60,15,45,0
Maharajapuram,0,0,16,0,16,0,6,9,1,0,0,16,1,15,0,16,0
Kunnur,0,0,103,23,39,41,76,25,2,2,7,94,0,103,0,75,28
Khansabpuram,0,0,100,63,22,15,100,0,0,10,33,57,0,100,0,96,4
Ilandaikulam,0,0,4,0,0,4,0,4,0,3,0,1,0,4,0,4,0
Ayaidharmam,0,0,2,0,0,2,0,2,0,1,0,1,0,2,0,2,0
Thambipatti,0,0,2,0,0,2,0,2,0,0,2,0,0,2,0,2,0
Kottaiyur,0,0,4,0,0,4,0,4,0,0,1,2,0,4,0,4,0
Nathampatti,0,0,2,0,0,2,0,2,0,1,0,1,0,2,0,2,0
Vellaipottal,0,0,4,0,0,4,0,4,0,2,1,1,0,4,0,4,0
Govindanallur,0,0,4,0,0,4,0,4,0,2,1,1,0,4,0,4,0
Muvaraivenran,0,0,5,0,0,5,0,5,0,0,2,3,0,5,0,5,0
Pullalakkottai,0,0,102,2,62,38,99,3,0,0,4,98,0,102,0,73,29
Appayyanayakkanpatti,1,0,104,40,54,11,72,33,0,0,0,105,0,105,0,103,2
Chinnavadi,0,0,124,38,76,10,121,3,0,0,1,123,0,124,0,124,0
V.Muthulingapuram,0,0,100,3,46,51,100,0,0,0,0,100,0,100,0,100,0
Kottainattam,0,0,118,4,54,60,53,64,1,4,0,114,0,118,0,116,2
Avudaiyapuram,0,0,104,100,0,5,100,5,0,2,1,100,0,102,0,96,1
Pudur,0,0,101,73,17,11,2,2,97,0,1,100,0,101,0,100,1
Amathur (CT),0,0,7,0,6,1,7,0,0,0,0,7,0,5,0,0,5
Chathirareddipatti (CT),0,0,15,1,9,5,15,0,0,0,5,10,0,14,0,0,14
Mannarkottai,0,0,6,0,5,1,4,1,1,0,0,6,0,6,0,3,3
Misalur,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,1
Moolippatti,0,0,5,0,3,2,4,1,0,0,0,5,0,5,0,0,5
Valayapatti,0,0,8,0,0,8,3,5,0,3,0,5,0,8,0,4,4
Sennalkudi,0,0,4,0,4,0,4,0,0,0,0,4,0,4,0,2,2
Kumaralingapuram,0,0,4,0,4,0,4,0,0,0,0,4,0,4,0,0,4
Periaparali,0,0,15,0,4,11,14,2,0,0,9,5,0,14,0,5,8
Chinnamuppanpatti,0,0,5,0,5,0,1,4,0,0,0,5,1,4,0,2,3
Allampatti,0,0,5,0,5,0,2,3,0,0,0,5,0,5,0,2,3
Rosalpatti (CT),0,0,8,0,7,1,8,0,0,0,1,6,0,5,0,2,3
Sundaralingapuram,0,0,9,3,6,0,9,0,0,0,0,9,0,9,0,5,4
Koilvirarpatti,0,1,104,1,45,59,99,6,0,5,0,100,0,105,0,104,1
Puliyangulam,0,0,71,14,40,17,71,0,0,0,0,71,0,71,0,71,0
Maruluthu,0,0,105,34,60,11,104,0,1,0,52,53,1,104,1,104,0
Kasireddiapatti,0,0,38,5,22,11,38,0,0,0,0,38,0,38,0,38,0
Kadambankulam,0,0,5,0,5,0,1,4,0,0,0,5,0,5,0,0,5
Endappuli,0,0,4,0,4,0,4,0,0,0,0,4,0,3,0,1,2
Kumaralingapuram,0,0,108,14,46,48,107,1,0,0,0,108,1,107,0,108,0
Alagapuri,0,0,3,0,3,0,3,0,0,0,0,3,0,3,0,3,0
Nattarmangalam,0,0,7,1,6,0,7,0,0,0,0,7,0,7,0,7,0
Virudhunagar,0,0,7,2,5,0,7,0,0,0,0,7,0,7,0,3,4
Tulukkapatti,0,0,4,0,3,1,4,0,0,0,0,4,0,4,0,4,0
Vachakkarapatti,0,0,12,1,5,6,12,0,0,0,3,9,0,12,0,12,0
Ondippulinayakkanur,0,0,8,4,3,1,7,1,0,0,0,8,0,8,0,8,0
Thathampatti,0,0,5,2,1,2,5,0,0,0,0,5,0,5,0,5,0
Kottaippatti,0,0,2,0,1,1,2,0,0,0,0,2,0,2,0,2,0
Pudupatti,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,1,0
Thammanayakkanpatti,0,0,6,0,3,3,6,0,0,0,0,6,0,6,0,6,0
Golwarpatti,0,0,5,1,3,1,5,0,0,0,0,5,0,5,0,5,0
Sandaiyur,0,0,6,2,2,2,6,0,0,0,0,6,0,6,0,6,0
Muthulingapuram,0,0,36,29,6,1,35,0,1,0,2,34,0,36,0,36,0
Veppilaipatti,0,0,4,1,2,1,4,0,0,0,0,4,0,4,0,4,0
Nallamanayakkanpatti,0,0,12,1,7,4,12,0,0,0,0,12,0,12,0,12,0
Pattampudur,0,0,101,0,61,40,98,2,1,0,2,99,0,101,0,100,1
Mettukkundu,0,0,2,0,0,2,2,0,0,0,1,1,0,2,0,2,0
Vadamalaikurichi,0,0,35,1,6,28,20,15,0,9,1,25,0,35,0,18,17
Kottaiyur,0,0,4,0,0,4,0,4,0,3,0,1,0,4,0,3,1
Elayirampannai,0,0,104,0,92,12,96,8,0,1,29,74,0,104,0,103,1
Vettilaiyurani,0,0,126,9,110,7,120,5,1,6,31,89,0,126,0,126,0
Surarpatti,0,0,112,45,62,5,110,0,2,3,23,86,7,105,0,90,22
