Village,Copper - Sufficient,Copper - Deficient,Boron - Sufficient,Boron - Deficient,S - Sufficient,S - Deficient,Fe - Sufficient,Fe - Deficient,Zn - Sufficient,Zn - Deficient,Mn - Sufficient,Mn - Deficient
Ayan Karisalkulam,167,2,108,61,167,2,24,145,98,71,166,3
Pudupatti R.F,41,0,40,1,41,0,0,41,41,0,41,0
Pudupatti R.F,68,8,49,27,76,0,27,49,51,25,68,8
Sundarapandiyam,100,4,97,7,104,0,0,104,100,4,100,4
Thulukkapatti,100,4,92,11,102,2,0,104,100,4,100,4
Watrap,51,9,15,45,59,1,42,18,31,29,49,10
Maharajapuram,16,0,0,16,16,0,0,16,16,0,16,0
Kunnur,99,5,84,19,103,0,0,104,76,28,41,63
Khansabpuram,82,18,44,56,86,14,0,100,57,43,91,9
Ilandaikulam,0,4,3,1,4,0,0,4,0,4,0,4
Ayaidharmam,1,1,0,2,2,0,0,2,0,2,0,2
Thambipatti,0,2,2,0,2,0,0,2,0,2,0,2
Kottaiyur,1,3,3,1,4,0,0,4,0,4,0,4
Nathampatti,0,2,1,1,2,0,0,2,0,2,0,2
Vellaipottal,0,4,3,1,4,0,0,4,0,4,0,4
Govindanallur,0,4,3,1,4,0,0,4,0,4,0,4
Muvaraivenran,0,5,5,0,5,0,0,5,0,5,0,5
Pullalakkottai,100,2,79,23,97,5,7,95,64,38,102,0
Appayyanayakkanpatti,105,0,67,38,105,0,1,104,100,5,105,0
Chinnavadi,124,0,100,24,113,11,1,123,118,6,109,15
V.Muthulingapuram,100,0,79,21,100,0,0,100,99,1,100,0
Kottainattam,118,0,91,27,116,2,1,117,102,16,112,6
Avudaiyapuram,105,0,68,37,105,0,0,105,66,39,47,58
Pudur,100,1,100,1,101,0,0,101,6,95,96,5
Amathur (CT),7,0,4,3,7,0,6,1,7,0,7,0
Chathirareddipatti (CT),5,11,14,1,15,0,0,15,4,11,4,12
Mannarkottai,6,0,4,2,6,0,5,1,5,1,5,1
Misalur,3,0,2,0,1,0,0,3,2,0,3,0
Moolippatti,5,0,0,5,5,0,5,0,4,1,5,0
Valayapatti,10,0,7,2,8,0,4,5,0,9,5,5
Sennalkudi,4,0,0,4,4,0,4,0,3,1,4,0
Kumaralingapuram,5,0,4,0,4,0,0,4,3,0,5,0
Periaparali,5,11,5,11,6,10,0,16,5,11,5,11
Chinnamuppanpatti,5,0,0,5,5,0,0,5,5,0,5,0
Allampatti,5,0,0,5,5,0,0,5,5,0,5,0
Rosalpatti (CT),7,1,0,8,7,1,4,4,7,1,7,1
Sundaralingapuram,9,0,5,4,9,0,1,8,9,0,6,3
Koilvirarpatti,105,0,92,13,100,5,0,105,41,64,100,5
Puliyangulam,71,0,56,15,71,0,0,71,70,1,71,0
Maruluthu,105,0,1,104,11,94,0,104,2,103,0,105
Kasireddiapatti,38,0,37,1,38,0,0,38,30,8,30,8
Kadambankulam,5,0,0,5,5,0,0,5,5,0,5,0
Endappuli,4,0,0,4,4,0,2,2,3,1,4,0
Kumaralingapuram,108,0,95,13,108,0,0,108,61,47,108,0
Alagapuri,3,0,1,2,3,0,0,3,0,3,3,0
